window_start,site,Ions,Concentration
1989-03-17,BQ2,ca_mgl,4.467777777777778
1989-03-17,BQ2,nh4n_mgl,NA
1989-03-17,BQ2,no3n_mgl,190.55555555555554
1989-05-19,BQ2,k_mgl,0.9522222222222222
1989-05-19,BQ2,mg_mgl,2.5166666666666666
1989-05-19,BQ2,ca_mgl,4.615555555555556
1989-05-19,BQ2,nh4n_mgl,NA
1989-05-19,BQ2,no3n_mgl,166.66666666666666
1989-07-21,BQ2,k_mgl,0.995
1989-07-21,BQ2,mg_mgl,2.545
1989-07-21,BQ2,ca_mgl,4.9075
1989-07-21,BQ2,nh4n_mgl,NA
1989-07-21,BQ2,no3n_mgl,143.25
1989-09-22,BQ2,k_mgl,1.4284615384615384
1989-09-22,BQ2,mg_mgl,2.9316666666666666
1989-09-22,BQ2,ca_mgl,5.4175
1989-09-22,BQ2,nh4n_mgl,NA
1989-09-22,BQ2,no3n_mgl,419.1111111111111
1989-11-24,BQ2,k_mgl,1.2066666666666666
1989-11-24,BQ2,mg_mgl,3.1233333333333335
1989-11-24,BQ2,ca_mgl,6.613333333333333
1989-11-24,BQ2,nh4n_mgl,NA
1989-11-24,BQ2,no3n_mgl,239.25
1990-01-26,BQ2,k_mgl,1.3388888888888888
1990-01-26,BQ2,mg_mgl,3.0522222222222224
1990-01-26,BQ2,ca_mgl,6.53
1990-01-26,BQ2,nh4n_mgl,NA
1990-01-26,BQ2,no3n_mgl,188
1990-03-30,BQ2,k_mgl,1.3635714285714287
1990-03-30,BQ2,mg_mgl,2.4907142857142857
1990-03-30,BQ2,ca_mgl,5.1971428571428575
1990-03-30,BQ2,nh4n_mgl,NA
1990-03-30,BQ2,no3n_mgl,466.7692307692308
1990-06-01,BQ2,k_mgl,1.1311111111111112
1990-06-01,BQ2,mg_mgl,3.2088888888888887
1990-06-01,BQ2,ca_mgl,6.776666666666666
1990-06-01,BQ2,nh4n_mgl,NA
1990-06-01,BQ2,no3n_mgl,232.77777777777777
1990-08-03,BQ2,k_mgl,0.9255555555555556
1990-08-03,BQ2,mg_mgl,3.2244444444444444
1990-08-03,BQ2,ca_mgl,7.187777777777778
1990-08-03,BQ2,nh4n_mgl,NA
1990-08-03,BQ2,no3n_mgl,121.11111111111113
1990-10-05,BQ2,k_mgl,0.901
1990-10-05,BQ2,mg_mgl,2.712
1990-10-05,BQ2,ca_mgl,5.773
1990-10-05,BQ2,nh4n_mgl,NA
1990-10-05,BQ2,no3n_mgl,164.7
1990-12-07,BQ2,k_mgl,0.998
1990-12-07,BQ2,mg_mgl,3.08
1990-12-07,BQ2,ca_mgl,6.782
1990-12-07,BQ2,nh4n_mgl,NA
1990-12-07,BQ2,no3n_mgl,182.11111111111111
1991-02-08,BQ2,k_mgl,0.8255555555555556
1991-02-08,BQ2,mg_mgl,2.953333333333333
1991-02-08,BQ2,ca_mgl,6.815555555555555
1991-02-08,BQ2,nh4n_mgl,NA
1991-02-08,BQ2,no3n_mgl,151.75
1991-04-12,BQ2,k_mgl,1.0090000000000001
1991-04-12,BQ2,mg_mgl,2.834
1991-04-12,BQ2,ca_mgl,4.025
1991-04-12,BQ2,nh4n_mgl,NA
1991-04-12,BQ2,no3n_mgl,35
1991-06-14,BQ2,k_mgl,0.9955555555555555
1991-06-14,BQ2,mg_mgl,3.201111111111111
1991-06-14,BQ2,ca_mgl,5.316666666666666
1991-06-14,BQ2,nh4n_mgl,NA
1991-06-14,BQ2,no3n_mgl,81
1991-08-16,BQ2,k_mgl,1.42
1991-08-16,BQ2,mg_mgl,2.9859999999999998
1991-08-16,BQ2,ca_mgl,6.027
1991-08-16,BQ2,nh4n_mgl,NA
1991-08-16,BQ2,no3n_mgl,88.2
1991-10-18,BQ2,k_mgl,1.2725
1991-10-18,BQ2,mg_mgl,2.6675
1991-10-18,BQ2,ca_mgl,4.571666666666666
1991-10-18,BQ2,nh4n_mgl,NA
1991-10-18,BQ2,no3n_mgl,221.08333333333331
1991-12-20,BQ2,k_mgl,1.301
1991-12-20,BQ2,mg_mgl,2.956
1991-12-20,BQ2,ca_mgl,5.949
1991-12-20,BQ2,nh4n_mgl,NA
1991-12-20,BQ2,no3n_mgl,284.9
1992-02-21,BQ2,k_mgl,1.1222222222222222
1992-02-21,BQ2,mg_mgl,3.121111111111111
1992-02-21,BQ2,ca_mgl,5.852222222222222
1992-02-21,BQ2,nh4n_mgl,NA
1992-02-21,BQ2,no3n_mgl,88.125
1992-04-24,BQ2,k_mgl,1.2466666666666666
1992-04-24,BQ2,mg_mgl,2.482222222222222
1992-04-24,BQ2,ca_mgl,5.24
1992-04-24,BQ2,nh4n_mgl,NA
1992-04-24,BQ2,no3n_mgl,124.875
1992-06-26,BQ2,k_mgl,1.23
1992-06-26,BQ2,mg_mgl,3.26
1992-06-26,BQ2,ca_mgl,6.88
1992-06-26,BQ2,nh4n_mgl,NA
1992-06-26,BQ2,no3n_mgl,108.22222222222223
1992-08-28,BQ2,k_mgl,1.2677777777777777
1992-08-28,BQ2,mg_mgl,3.1655555555555557
1992-08-28,BQ2,ca_mgl,6.641111111111111
